path	lines	category	reason with file:line	twin	tests naming it
scripts/ops/r2-oneshot-scrub.sh	502	PORT	Out-of-policy script; plan B5 ports	-	
scripts/ops/reset-bench.sh	198	PORT	Out-of-policy script; plan B5 ports	-	
scripts/ops/scrub-sentinel.sh	133	PORT	Out-of-policy script; plan B5 ports	-	
.ci/legacy/run-legacy.sh	647	PORT	carried	-	
.ci/scripts/ci/profiler/sampler-linux.sh	685	PORT	carried	-	
.ci/scripts/quality/check-submodule-branches.sh	597	PORT	carried	-	
.ci/scripts/security/check-workflow-gates.sh	1189	PORT	carried	-	
.ci/scripts/test/gates/test-blocker-golden-corpus.sh	436	PORT	carried	-	
.ci/scripts/test/gates/test-media-r2.sh	162	PORT	carried	-	
.ci/scripts/test/gates/test-run-sh.sh	591	PORT	carried	-	
.ci/scripts/test/gates/test-runner-advice.sh	970	PORT	carried	-	
.ci/scripts/test/proxies/proxy-ensure-nfpm.sh	170	PORT	carried	-	
.ci/scripts/test/proxies/proxy-go-unit.sh	178	PORT	carried	-	
.ci/scripts/test/proxies/proxy-license-e2e.sh	115	PORT	carried	-	
.ci/scripts/test/proxies/proxy-linux-packages.sh	140	PORT	carried	-	
.ci/scripts/test/proxies/proxy-ops-host-check.sh	221	PORT	carried	-	
.ci/scripts/test/proxies/proxy-rdc-update.sh	126	PORT	carried	-	
.ci/scripts/test/proxies/proxy-unit-tests.sh	143	PORT	carried	-	
.ci/scripts/test/run-account-e2e.sh	246	PORT	carried	-	
.ci/scripts/test/run-e2e.sh	187	PORT	carried	-	
.ci/scripts/test/run-unit.sh	58	PORT	carried	-	
.ci/scripts/test/seed-smoke-test.sh	106	PORT	carried	-	
.ci/scripts/test/start-account-for-e2e.sh	238	PORT	carried	-	
.ci/scripts/test/test-install-methods.sh	1374	PORT	carried	-	
.ci/scripts/test/test-linux-packages.sh	762	PORT	carried	-	
.ci/scripts/test/test-rdc-update.sh	489	PORT	carried	-	
scripts/dev/worktree.sh	807	PORT	carried	-	

TOTALS BY CATEGORY:
GOLDEN-THEN-DELETE	2753	9 files
KEEP-BASH	2317	24 files
PORT	24711	74 files
TOTAL	29781	107 files
